team,conference,mascot,latitude,longitude,venue_name
Lebanon Valley,Mid Atlantic,Flying Dutchmen,40.3295901,-76.515226,Arnold Field (PA)
Lehigh,Patriot,Mountain Hawks,40.5890837,-75.3553874,Goodman Stadium
Lenoir-Rhyne,South Atlantic,Bears,35.7333312,-81.3442915,Helen and Leonard Moretz Stadium
Lewis & Clark College,Northwest,Pioneers,45.5202471,-122.6741949,Griswold Stadium
Liberty,Conference USA,Flames,37.3544305,-79.1750239,Williams Stadium (VA)
Limestone,South Atlantic,Saints,35.0717945,-81.6498195,The Reservation
Lincoln (MO),Great Lakes,Blue Tigers,38.577359,-92.1724265,Dwight T. Reed Stadium
Lincoln (PA),CIAA,Lions,39.8065518,-75.92870551247694,Lincoln University Stadium
Lindenwood,Big South-OVC,Lions,38.7946252,-90.519829,Hunter Stadium
Linfield College,Northwest,Wildcats,45.2100367,-123.194463,Maxwell Field
Livingstone,CIAA,Blue Bears,35.6709727,-80.4742261,Alumni Memorial Stadium (NC)
Lock Haven University,Pennsylvania State Athletic,Bald Eagles,41.1369077,-77.4471641,Hubert Jack Stadium
Long Island University,NEC,Sharks,40.816284,-73.589546,Bethpage Federal Credit Union Stadium
Louisiana,Sun Belt,Ragin' Cajuns,30.2158434,-92.0417371,Cajun Field
Louisiana Tech,Conference USA,Bulldogs,32.5321487,-92.6560019,Joe Aillet Stadium
Louisville,ACC,Cardinals,38.2057621,-85.7588141,L&N Federal Credit Union Stadium
LSU,SEC,Tigers,30.412035,-91.1838163,Tiger Stadium (LA)
Luther,American Rivers,Norse,43.3041609,-91.7859098,Legacy Field in Carlson Stadium
Lycoming,Landmark Conference,Warriors,41.2493292,-77.0027671,David Person Field
LYONCOLL,Southern Collegiate Athletic,Scots,42.2542334,-77.7906062,Pioneer Stadium
Macalester,Minnesota,Scots,44.9497487,-93.0931028,Macalester Stadium
Maine,CAA,Black Bears,44.905128,-68.6724718,Alfond Stadium
Maine Maritime,Commonwealth Coast,Mariners,44.388164,-68.79982,Ritchie Field
Manchester,Heartland,Spartans,41.0006005,-85.768597,Carl W. Burt Memorial Stadium
Marietta,Ohio,Pioneers,39.4167742,-81.4548392,Don Drumm Stadium
Marist,Pioneer,Red Foxes,41.7191409,-73.9329549,Leonidoff Field
Marshall,Sun Belt,Thundering Herd,38.4247042,-82.4214412,Joan C. Edwards Stadium
Mars Hill,South Atlantic,Lions,35.82685585,-82.55057686987725,Meares Stadium
Martin Luther,Upper Midwest,Knights,44.3140261,-94.4614177,MLC Bowl
Mary Hardin-Baylor,American Southwest,Crusaders,31.0560132,-97.464453,Crusader Stadium
Maryland,Big Ten,Terrapins,38.9903332,-76.9473792,SECU Stadium
Maryville College (TN),USA South,Scots,35.7564719,-83.9704593,Lloyd L. Thornton Stadium
Massachusetts,Mid-American,Minutemen,42.3773244,-72.5360595,Warren McGuirk Alumni Stadium
Mass Maritime,MSCAC,Buccaneers,41.745383,-70.618087,Clean Harbors Stadium
McDaniel College,Centennial,Green Terror,39.5752639,-76.9959277,Kenneth R. Gill Stadium
McMurry,Southern Collegiate Athletic,War Hawks,32.44645,-99.7475905,Wilford Moore Stadium
McNeese,Southland,Cowboys,30.1804575,-93.2178729,Cowboy Stadium
Memphis,American Athletic,Tigers,35.1209429,-89.977147,Simmons Bank Liberty Stadium
Mercer,Southern,Bears,32.8262075,-83.6522485,Five Star Stadium at the Moye Complex
Merchant Marine Academy,NEWMAC,Mariners,40.8197813,-73.7351337,Brooks Stadium (NY)
Mercyhurst,NEC,Lakers,42.1294712,-80.0852695,Saxon Stadium
Merrimack,FCS Independents,Warriors,42.6839894,-71.1127065,Duane Stadium
Methodist,USA South,Monarchs,35.0525759,-78.878292,Monarch Stadium
